港澳台,#group#



香港,#genre#
翡翠台4k,http://php.jdshipin.com/PLTV/iptv.php?id=fct4
翡翠台4K,http://rihou.cc:555/tv/[PL]无线翡4k
翡翠台,http://74.91.26.218:82/live/jade.m3u8
翡翠台,https://o11.163189.xyz/stream/tvb/fct/
翡翠台,http://bxtv.3a.ink/api.php?id=fct
翡翠台,http://rihou.cc:555/tv/[Pd]无线翡翠
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/PLTV/iptv.php?id=fct
明珠台,http://iptv.4666888.xyz/iptv2A.php?id=29
明珠台,http://rihou.cc:555/tv/[Pd]无线明珠
明珠台,https://o11.163189.xyz/stream/tvb/mzt/
明珠台,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
TVB1 ,https://6.cdn.loc.cc/163189.php?id=tvb1
TVBJ1 ,http://iptv.4666888.xyz/iptv2A.php?id=26
TVBJ1 ,https://6.cdn.loc.cc/163189.php?id=j1
TVBJ1 ,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB plus ,http://74.91.26.218:82/live/j2.m3u8
TVB plus ,https://o11.163189.xyz/stream/tvb/tvbp/
TVB plus ,http://bxtv.3a.ink/api.php?id=tvbp
TVB plus ,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
TVB plus ,https://cdn6.163189.xyz/163189/tvbp
TVB星河,https://cdn6.101.qzz.io/163189/tvbxh
TVB星河,http://rihou.cc:555/tv/[Pd]无线星河
TVB星河,http://rihou.cc:555/tv/[PL]无线星河
TVB星河,http://r.jdshipin.com/Voac4
TVB无线千禧,http://bxtv.3a.ink/api.php?id=qxjd
TVB无线千禧,http://rihou.cc:555/tv/[Bx]无线千禧
TVB千禧经典,https://o11.163189.xyz/stream/live/tvbc/
TVB功夫,http://rihou.cc:555/tv/[Pd]无线功夫
TVB功夫,https://cdn6.101.qzz.io/163189/yzwx
ViuTV ,https://stream1.freetv.fun/5fc2ba313b387d2b2538a2e46aee6266cc10890fc8b8ccf478498b82af6f7c3b.m3u8
ViuTV ,https://stream1.freetv.fun/45181db55db70a3fc349faf2ef2b901599a9cbc7106f2674134cac2db74b2f81.m3u8
ViuTV ,https://cdn.163189.xyz/163189/viu
RHK31 ,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RHK31 ,http://rihou.cc:555/tv/[PL]RTHK-31
RHK31 ,http://cdn.163189.xyz/163189/rthk31
RHK32 ,http://cdn.163189.xyz/163189/rthk32
RHK32 ,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
RHK32 ,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
HOY76 ,http://hls.168.us.kg/u/76/master.m3u8
HOY77 ,http://hls.168.us.kg/u/77/master.m3u8
HOY77 ,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
